Site,Wetland,Date,SiteWetland_Date,Order,Family,Genus,LowestTaxon,Quantity,Sex,Stage
TX,CB,14May21,TXCB_14May21,Hemiptera,Mesoveliidae,Mesovelia,Mesovelia,1,NA,Adult
TX,CB,14May21,TXCB_14May21,Hemiptera,Corixidae,Trichocorixa,Trichocorixa,2,NA,Adult
TX,CB,14May21,TXCB_14May21,Coleoptera,Hydrophilidae,Tropisternus,Tropisternus,4,NA,Larva
TX,HQ,02Jun21,TXHQ_02Jun21,Notostraca,Triopsidae,Triops,Triops,8,M,NA
TX,HQ,02Jun21,TXHQ_02Jun21,Notostraca,Triopsidae,Triops,Triops,12,F,NA
TX,HQ,02Jun21,TXHQ_02Jun21,Spinicaudata,Limnadiidae,Eulimnadia,Eulimnadia,112,F,NA
TX,HQ,02Jun21,TXHQ_02Jun21,Ephemeroptera,Baetidae,Callibaetis,Callibaetis.pictus,650,NA,Nymph
TX,HQ,02Jun21,TXHQ_02Jun21,Trombidiformes,Trombidiformes,Trombidiformes,Trombidiformes,1,NA,Adult
TX,HQ,02Jun21,TXHQ_02Jun21,Odonata,Libellulidae,Sympetrum,Sympetrum.corruptum,1,NA,Nymph
TX,HQ,02Jun21,TXHQ_02Jun21,Diptera,Chironomidae,Tanypodinae,Tanypodinae,8,NA,Larva
TX,HQ,02Jun21,TXHQ_02Jun21,Diptera,Chironomidae,Chironomidae,Chironomidae,1,NA,Pupa
TX,HQ,02Jun21,TXHQ_02Jun21,Coleoptera,Hydrophilidae,Tropisternus,Tropisternus,10,NA,Larva
TX,HQ,02Jun21,TXHQ_02Jun21,Coleoptera,Hydrophilidae,Berosus,Berosus.exiguus,2,NA,Adult
TX,HQ,02Jun21,TXHQ_02Jun21,Coleoptera,Hydrophilidae,Berosus,Berosus,26,NA,Larva
TX,HQ,02Jun21,TXHQ_02Jun21,Coleoptera,Haliplidae,Haliplus,Haliplus.tumidus,1,NA,Larva
TX,HQ,02Jun21,TXHQ_02Jun21,Coleoptera,Hydrophilidae,Enochrus,Enochrus,2,NA,Larva
TX,HQ,02Jun21,TXHQ_02Jun21,Coleoptera,Dytiscidae,Neobidessus,Neobidessus.pullus,1,NA,Adult
TX,HQ,02Jun21,TXHQ_02Jun21,Coleoptera,Dytiscidae,Laccophilus,Laccophilus,2,NA,Larva
TX,HQ,02Jun21,TXHQ_02Jun21,Coleoptera,Dytiscidae,Laccophilus,Laccophilus.proximus,4,NA,Adult
TX,HQ,02Jun21,TXHQ_02Jun21,Coleoptera,Dytiscidae,Liodessus,Liodessus,1,NA,Larva
TX,HQ,02Jun21,TXHQ_02Jun21,Coleoptera,Dytiscidae,Thermonectus,Thermonectus.basillaris,1,NA,Adult
TX,HQ,02Jun21,TXHQ_02Jun21,Coleoptera,Dytiscidae,Thermonectus,Thermonectus,19,NA,Larva
TX,CB,21May21,TXCB_21May21,Spinicaudata,Limnadiidae,Eulimnadia,Eulimnadia,977,F,NA
